101,2019-04-06,6484
105,2019-04-06,12304
110,2019-04-06,6096
111,2019-04-06,8500
112,2019-04-06,5944
113,2019-04-06,6644
115,2019-04-06,8800
117,2019-04-06,10256
118,2019-04-06,8980
122,2019-04-06,7828
123,2019-04-06,9492
124,2019-04-06,5852
125,2019-04-06,10244
126,2019-04-06,14416
127,2019-04-06,6980
128,2019-04-06,7052
134,2019-04-06,6860
138,2019-04-06,7168
139,2019-04-06,10784
140,2019-04-06,6376
141,2019-04-06,7372
143,2019-04-06,10644
152,2019-04-06,6084
154,2019-04-06,12876
155,2019-04-06,9772
159,2019-04-06,6212
163,2019-04-06,8484
168,2019-04-06,7036
170,2019-04-06,9856
173,2019-04-06,7224
180,2019-04-06,10672
182,2019-04-06,7336
183,2019-04-06,9572
184,2019-04-06,8816
189,2019-04-06,8300
191,2019-04-06,6140
192,2019-04-06,5024
193,2019-04-06,9088
196,2019-04-06,11936
197,2019-04-06,7360
200,2019-04-06,10092
206,2019-04-06,13136
207,2019-04-06,8468
211,2019-04-06,10688
213,2019-04-06,11304
218,2019-04-06,6924
221,2019-04-06,11716
222,2019-04-06,10424
227,2019-04-06,12788
229,2019-04-06,9184
230,2019-04-06,9868
231,2019-04-06,10668
236,2019-04-06,8352
254,2019-04-06,5400
257,2019-04-06,9640
262,2019-04-06,6332
266,2019-04-06,4984
267,2019-04-06,8780
268,2019-04-06,8016
272,2019-04-06,5596
278,2019-04-06,6396
291,2019-04-06,9908
301,2019-04-06,7744
306,2019-04-06,7988
323,2019-04-06,11032
