101,2019-04-18,5432
105,2019-04-18,9232
111,2019-04-18,5984
112,2019-04-18,4728
113,2019-04-18,4520
115,2019-04-18,6932
117,2019-04-18,7840
118,2019-04-18,6968
122,2019-04-18,5536
123,2019-04-18,7764
124,2019-04-18,4568
125,2019-04-18,8280
126,2019-04-18,11184
127,2019-04-18,5984
128,2019-04-18,4896
134,2019-04-18,5688
138,2019-04-18,5376
139,2019-04-18,8676
140,2019-04-18,4024
141,2019-04-18,5824
143,2019-04-18,8792
152,2019-04-18,4020
154,2019-04-18,10856
155,2019-04-18,8840
159,2019-04-18,4984
163,2019-04-18,6520
168,2019-04-18,5504
170,2019-04-18,8392
173,2019-04-18,5148
180,2019-04-18,9312
182,2019-04-18,5736
183,2019-04-18,6980
184,2019-04-18,7140
189,2019-04-18,6128
191,2019-04-18,4764
192,2019-04-18,3804
193,2019-04-18,6572
196,2019-04-18,10372
197,2019-04-18,6068
200,2019-04-18,8104
206,2019-04-18,8584
207,2019-04-18,6516
211,2019-04-18,9228
213,2019-04-18,9312
218,2019-04-18,5056
221,2019-04-18,10500
222,2019-04-18,7652
227,2019-04-18,12552
229,2019-04-18,6032
230,2019-04-18,7884
231,2019-04-18,8776
236,2019-04-18,7680
254,2019-04-18,4276
257,2019-04-18,7812
262,2019-04-18,4916
266,2019-04-18,4748
267,2019-04-18,7216
268,2019-04-18,7004
272,2019-04-18,5020
278,2019-04-18,5528
291,2019-04-18,8876
301,2019-04-18,6124
306,2019-04-18,6532
323,2019-04-18,8892
