101,2019-05-24,7724
105,2019-05-24,12596
110,2019-05-24,5976
111,2019-05-24,9296
112,2019-05-24,7096
113,2019-05-24,6880
115,2019-05-24,9884
117,2019-05-24,10716
118,2019-05-24,9740
122,2019-05-24,7984
123,2019-05-24,10600
124,2019-05-24,6948
125,2019-05-24,10316
126,2019-05-24,13668
127,2019-05-24,7684
128,2019-05-24,6992
134,2019-05-24,7168
138,2019-05-24,7372
139,2019-05-24,11172
140,2019-05-24,6368
141,2019-05-24,7260
143,2019-05-24,12328
152,2019-05-24,5908
154,2019-05-24,14428
155,2019-05-24,10252
159,2019-05-24,7184
163,2019-05-24,9272
168,2019-05-24,7632
170,2019-05-24,10048
173,2019-05-24,7840
180,2019-05-24,11916
182,2019-05-24,7744
183,2019-05-24,9436
184,2019-05-24,9596
189,2019-05-24,9552
191,2019-05-24,6600
192,2019-05-24,5296
193,2019-05-24,9932
196,2019-05-24,12236
197,2019-05-24,7680
200,2019-05-24,10772
206,2019-05-24,11140
207,2019-05-24,8248
211,2019-05-24,14448
213,2019-05-24,12688
218,2019-05-24,6880
221,2019-05-24,13016
222,2019-05-24,10756
227,2019-05-24,13912
229,2019-05-24,8972
230,2019-05-24,10620
231,2019-05-24,10608
236,2019-05-24,9864
254,2019-05-24,5364
257,2019-05-24,9640
262,2019-05-24,6428
266,2019-05-24,7496
267,2019-05-24,8584
268,2019-05-24,8776
272,2019-05-24,5832
278,2019-05-24,6152
291,2019-05-24,10328
301,2019-05-24,7992
306,2019-05-24,9228
323,2019-05-24,11220
